[0725/065037:ERROR:process_info.cc(330)] VirtualQueryEx: Access is denied. (0x5)
[0725/065037:ERROR:process_info.cc(547)] ReadMemoryInfo failed
[0725/065037:ERROR:process_info.cc(608)] range at 0xff4c3000, size 0x230 fully unreadable
[0805/194031:ERROR:process_info.cc(608)] range at 0xff0fc000, size 0xf84 fully unreadable
[0805/194031:ERROR:process_info.cc(608)] range at 0xff0f9000, size 0xf84 fully unreadable
[0805/194031:ERROR:process_info.cc(608)] range at 0xff0f6000, size 0xf84 fully unreadable
[0805/194031:ERROR:process_info.cc(608)] range at 0xff0f3000, size 0xf84 fully unreadable
[0805/194031:ERROR:process_info.cc(608)] range at 0xff0f0000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xffda4000, size 0x230 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xffdaf000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xffdab000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xffda8000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xffc6f000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xffc6c000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xffc69000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xffc66000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xffc63000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xff04f000, size 0x230 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xff04e000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xff048000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xff045000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xfef0f000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xfef0c000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xfef09000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xfef06000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xfef03000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xfef00000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xfeefd000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xfeefa000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xfeef7000, size 0xf84 fully unreadable
[0805/230142:ERROR:process_info.cc(608)] range at 0xfeef4000, size 0xf84 fully unreadable
[0806/073348:ERROR:process_info.cc(608)] range at 0xff498000, size 0x230 fully unreadable
[0806/073348:ERROR:process_info.cc(608)] range at 0xff49d000, size 0xf84 fully unreadable
[0806/073348:ERROR:process_info.cc(608)] range at 0xff497000, size 0xf84 fully unreadable
[0806/073348:ERROR:process_info.cc(608)] range at 0xff35f000, size 0xf84 fully unreadable
[0806/073348:ERROR:process_info.cc(608)] range at 0xff35c000, size 0xf84 fully unreadable
[0806/073348:ERROR:process_info.cc(608)] range at 0xff359000, size 0xf84 fully unreadable
[0806/073348:ERROR:process_info.cc(608)] range at 0xff356000, size 0xf84 fully unreadable
[0806/073348:ERROR:process_info.cc(608)] range at 0xff353000, size 0xf84 fully unreadable
[0806/073348:ERROR:process_info.cc(608)] range at 0xff350000, size 0xf84 fully unreadable
[0814/134915:ERROR:process_info.cc(608)] range at 0xff6f6000, size 0x230 fully unreadable
[0814/134915:ERROR:process_info.cc(608)] range at 0xff6ff000, size 0xf84 fully unreadable
[0814/134915:ERROR:process_info.cc(608)] range at 0xff6fc000, size 0xf84 fully unreadable
[0814/134915:ERROR:process_info.cc(608)] range at 0xff6f5000, size 0xf84 fully unreadable
[0814/134915:ERROR:process_info.cc(608)] range at 0xff5bf000, size 0xf84 fully unreadable
[0814/134915:ERROR:process_info.cc(608)] range at 0xff5bc000, size 0xf84 fully unreadable
[0814/134915:ERROR:process_info.cc(608)] range at 0xff5b9000, size 0xf84 fully unreadable
[0814/134915:ERROR:process_info.cc(608)] range at 0xff5b6000, size 0xf84 fully unreadable
[0814/134915:ERROR:process_info.cc(608)] range at 0xff5b3000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe577000, size 0x230 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe57f000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe57c000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe43f000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe43c000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe439000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe436000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe433000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe430000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe42a000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe427000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe42d000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe424000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe421000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe41b000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe409000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe41e000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe418000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe415000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe412000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe40f000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe40c000, size 0xf84 fully unreadable
[0825/185817:ERROR:process_info.cc(608)] range at 0xfe406000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff388000, size 0x230 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff38d000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff387000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff24f000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff24c000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff249000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff246000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff243000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff240000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff23d000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff23a000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff237000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff234000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff228000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff225000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff231000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff22e000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff22b000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff222000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff21f000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff21c000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff219000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff216000, size 0xf84 fully unreadable
[0825/213742:ERROR:process_info.cc(608)] range at 0xff213000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff2af000, size 0x230 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff2ae000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff2ab000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff2a5000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff16f000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff16c000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff169000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff166000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff163000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff160000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff15d000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff15a000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff157000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff154000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff14b000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff151000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff14e000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff148000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff145000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff142000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff13f000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff13c000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff139000, size 0xf84 fully unreadable
[0825/213809:ERROR:process_info.cc(608)] range at 0xff136000, size 0xf84 fully unreadable
[0527/082737:ERROR:process_reader_win.cc(233)] ReadMemory at 0x10f0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Program Files\Google\Chrome\Application\chrome.exe
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x77790000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\SYSTEM32\ntdll.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75710000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\KERNELBASE.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x76550000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\kernel32.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75610000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\System32\SYSFER.DLL
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75af0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\msvcrt.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x74b20000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\VERSION.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x66450000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Program Files\Google\Chrome\Application\55.0.2883.87\chrome_elf.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x76260000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\RPCRT4.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x77930000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\SYSTEM32\sechost.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x77280000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\ADVAPI32.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x77960000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\PSAPI.DLL
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x77520000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\USER32.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x77480000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\USP10.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x77970000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\LPK.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75bb0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\GDI32.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x77980000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\SHLWAPI.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x76630000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\SHELL32.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x73d50000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WINMM.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x73ef0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WTSAPI32.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75700000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\profapi.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x759e0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\USERENV.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x718d0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\webio.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x71960000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WINHTTP.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75a20000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\MSCTF.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x778e0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\IMM32.DLL
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x70b80000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\dbghelp.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x76060000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\ole32.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x761c0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\OLEAUT32.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75ba0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\NSI.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75c50000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WS2_32.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x74000000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_41e855142bd5705d\COMCTL32.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75fe0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\COMDLG32.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x73930000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WINSPOOL.DRV
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x73880000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WINNSI.DLL
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x73890000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\IPHLPAPI.DLL
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x752c0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\Secur32.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75500000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\SSPICLI.DLL
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x61270000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\DWrite.dll
[0527/082738:ERROR:process_reader_win.cc(233)] ReadMemory at 0x756f0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0527/082738:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\MSASN1.dll
